birthDay,email,gender,name,phone,userID,desiredPrice,desiredLocation,loc_long,loc_lat
2006-05-14,llarsen@gmail.com,Female,Deanna Moore,387.586.7953x37277,5d975786-1e9e-11ef-9191-040e3c016083,3000000," 226 Nguyễn Văn Linh, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh",106.621356,10.70225
1977-11-14,johnhicks@gmail.com,Male,Douglas Keith,(795)362-0182,67556833-1e9e-11ef-8e4f-040e3c016083,20000000,"1 Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh",106.77255839168646,10.85279065
1972-04-26,emelendez@gmail.com,Male,Barry Green,(689)405-9484x638,6b86458f-1e9e-11ef-b621-040e3c016083,7000000,"10 Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh",106.7592866,10.8506028
1977-12-27,vasquezlisa@gmail.com,Male,Holly Adams,001-923-736-5014x44228,6e80617b-1e9e-11ef-97a4-040e3c016083,10000000,"10 Đinh Tiên Hoàng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",106.7026754,10.7858533
1989-12-26,wallaceholly@gmail.com,Female,James Rangel,6497432920,76a0193e-1e9e-11ef-852d-040e3c016083,3000000,"24 Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",106.6992425,10.784111
1983-10-04,jeffreykim@gmail.com,Male,James Reyes,001-971-481-7879,7d2d417a-1e9e-11ef-b736-040e3c016083,10000000,"129 Điện Biên Phủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",106.703182,10.7965662
2005-02-24,fjohnson@gmail.com,Male,Danielle Bush,+1-268-443-9564x86769,81ad834c-1e9e-11ef-b5c2-040e3c016083,10000000,"272 Nguyễn Văn Linh, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh",105.769809,10.018783
1973-08-31,crodriguez@gmail.com,Male,Janet Murray,001-576-826-9514,84ff3680-1e9e-11ef-9762-040e3c016083,3000000,"0 Đinh Tiên Hoàng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",106.7023537,10.7858948
1967-03-31,craigstewart@gmail.com,Female,Nicholas Duncan,001-377-812-0026x61946,88a182f1-1e9e-11ef-ba10-040e3c016083,10000000,"15 Trần Đại Nghĩa, Phường Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh",106.543161,10.7423682
1987-01-05,cervantesamber@gmail.com,Male,Margaret Brown,8667412349,8e1d1b32-1e9e-11ef-9066-040e3c016083,2000000,"26 Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Thành phố Hồ Chí Minh",106.6800466,10.7929933
1973-12-18,greenchristopher@gmail.com,Male,Anna Foster,602.716.6849,9193a588-1e9e-11ef-8cdf-040e3c016083,2000000,"22A Phan Văn Trị, Phường 5, Gò Vấp, Thành phố Hồ Chí Minh",106.68387,10.75774
2006-05-19,nathaniel24@gmail.com,Male,Ricky Suarez,740-511-6926,94cd4432-1e9e-11ef-9470-040e3c016083,10000000,"318 Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh",106.7705555,10.849621
1971-02-23,prestonanne@gmail.com,Male,Andre Decker,(912)248-1983x8029,991e70a9-1e9e-11ef-9b2d-040e3c016083,4000000,"302A Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh",106.7592866,10.8506028
1987-11-22,jasminejohnson@gmail.com,Female,Rita Ballard,(464)803-6544x01831,9c41d549-1e9e-11ef-ad26-040e3c016083,7000000,"762 Nguyễn Văn Linh, Phường Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh",106.7199436,10.7319542
1998-01-24,jessica28@gmail.com,Female,Tammy Clay,001-383-556-8687,a0e93daa-1e9e-11ef-b635-040e3c016083,2000000,"240 Nguyễn Văn Linh, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh",106.725645,10.752249
1985-04-15,uortega@gmail.com,Female,Carlos May,001-432-630-7088x9034,a4cd48ef-1e9e-11ef-a734-040e3c016083,4000000,"22 Nguyễn Văn Linh, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh",106.139443,11.281537
2001-04-01,sandra44@gmail.com,Male,Michael Crawford,+1-999-637-6142x273,a88a4338-1e9e-11ef-b135-040e3c016083,2000000,"38 Nguyễn Văn Bưỏi, Phường Tân Phong, 7, Thành phố Hồ Chí Minh",106.693081,10.781971
1976-12-14,griffinkaren@gmail.com,Male,Jennifer Erickson,4879285307,ab7590cb-1e9e-11ef-ae64-040e3c016083,20000000,"42 Trần Minh Quyền, Phường 11, Quận 10, Thành phố Hồ Chí Minh",106.6747783,10.7704449
1976-11-30,ztyler@gmail.com,Male,Richard Henry,877-960-3566,e57d5b72-1e9e-11ef-9b7e-040e3c016083,2000000,"182 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",106.690029,10.785873
1992-01-08,dennishernandez@gmail.com,Female,Natalie Hernandez,+1-681-663-9145x016,eb0ef895-1e9e-11ef-9605-040e3c016083,10000000,"RM6F+WCM, Đường Đặng Văn Sâm, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",106.693081,10.781971
